voice	prompt	temp	topk	rp	bytes	tok_per_s	toks
leo24m	1	0.8	0	1.4	532	22.3	24
leo24m	1	0.9	40	1.0	533	17.2	24
leo24m	1	0.9	40	1.3	533	22.1	24
leo24m	1	0.9	40	1.4	533	17.7	24
leo24m	1	0.9	0	1.0	532	17.5	24
leo24m	1	0.9	0	1.3	532	17.3	24
leo24m	1	0.9	0	1.4	532	17.4	24
leo24m	1	1.0	40	1.0	533	17.2	24
leo24m	1	1.0	40	1.3	533	21.9	24
leo24m	1	1.0	40	1.4	533	17.3	24
leo24m	1	1.0	0	1.0	532	17.6	24
leo24m	1	1.0	0	1.3	532	22.1	24
leo24m	1	1.0	0	1.4	532	18.1	24
leo24m	2	0.3	40	1.0	562	10.1	21
leo24m	2	0.3	40	1.3	562	12.7	21
leo24m	2	0.3	40	1.4	562	10.1	21
leo24m	2	0.3	0	1.0	561	10.3	21
leo24m	2	0.3	0	1.3	561	10.1	21
leo24m	2	0.3	0	1.4	561	10.1	21
leo24m	2	0.5	40	1.0	562	10.5	21
leo24m	2	0.5	40	1.3	562	12.7	21
leo24m	2	0.5	40	1.4	562	10.2	21
leo24m	2	0.5	0	1.0	561	10.0	21
leo24m	2	0.5	0	1.3	561	10.2	21
leo24m	2	0.5	0	1.4	561	10.0	21
leo24m	2	0.7	40	1.0	561	8.2	21
leo24m	2	0.7	40	1.3	562	10.0	21
leo24m	2	0.7	40	1.4	562	10.0	21
leo24m	2	0.7	0	1.0	561	10.2	21
leo24m	2	0.7	0	1.3	561	10.1	21
leo24m	2	0.7	0	1.4	561	10.2	21
leo24m	2	0.8	40	1.0	562	10.1	21
leo24m	2	0.8	40	1.3	561	9.9	21
leo24m	2	0.8	40	1.4	562	12.7	21
leo24m	2	0.8	0	1.0	561	10.1	21
leo24m	2	0.8	0	1.3	561	10.1	21
leo24m	2	0.8	0	1.4	561	12.8	21
leo24m	2	0.9	40	1.0	562	10.0	21
leo24m	2	0.9	40	1.3	562	10.2	21
leo24m	2	0.9	40	1.4	562	10.1	21
leo24m	2	0.9	0	1.0	561	10.1	21
leo24m	2	0.9	0	1.3	561	12.9	21
leo24m	2	0.9	0	1.4	561	10.2	21
leo24m	2	1.0	40	1.0	562	10.0	21
leo24m	2	1.0	40	1.3	562	10.1	21
leo24m	2	1.0	40	1.4	562	10.3	21
leo24m	2	1.0	0	1.0	561	10.2	21
leo24m	2	1.0	0	1.3	561	10.1	21
leo24m	2	1.0	0	1.4	561	10.4	21
leo24m	3	0.3	40	1.0	574	19.8	17
leo24m	3	0.3	40	1.3	574	19.5	17
leo24m	3	0.3	40	1.4	574	19.3	17
leo24m	3	0.3	0	1.0	573	19.7	17
leo24m	3	0.3	0	1.3	573	16.3	17
leo24m	3	0.3	0	1.4	573	19.9	17
leo24m	3	0.5	40	1.0	574	16.4	17
leo24m	3	0.5	40	1.3	574	19.3	17
leo24m	3	0.5	40	1.4	574	16.3	17
leo24m	3	0.5	0	1.0	573	19.6	17
leo24m	3	0.5	0	1.3	573	20.2	17
leo24m	3	0.5	0	1.4	573	19.8	17
leo24m	3	0.7	40	1.0	574	19.2	17
leo24m	3	0.7	40	1.3	574	16.2	17
leo24m	3	0.7	40	1.4	574	19.4	17
leo24m	3	0.7	0	1.0	573	19.7	17
leo24m	3	0.7	0	1.3	573	19.5	17
leo24m	3	0.7	0	1.4	573	19.8	17
leo24m	3	0.8	40	1.0	574	19.7	17
leo24m	3	0.8	40	1.3	574	19.5	17
leo24m	3	0.8	40	1.4	574	19.7	17
leo24m	3	0.8	0	1.0	573	19.9	17
leo24m	3	0.8	0	1.3	573	20.1	17
leo24m	3	0.8	0	1.4	573	19.9	17
leo24m	3	0.9	40	1.0	574	19.6	17
leo24m	3	0.9	40	1.3	574	19.4	17
leo24m	3	0.9	40	1.4	574	19.3	17
leo24m	3	0.9	0	1.0	573	19.9	17
leo24m	3	0.9	0	1.3	573	19.9	17
leo24m	3	0.9	0	1.4	573	19.7	17
leo24m	3	1.0	40	1.0	574	19.7	17
leo24m	3	1.0	40	1.3	574	25.1	17
leo24m	3	1.0	40	1.4	574	19.7	17
leo24m	3	1.0	0	1.0	573	19.7	17
leo24m	3	1.0	0	1.3	573	15.3	17
leo24m	3	1.0	0	1.4	573	19.9	17
